                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     35,               0.040797,               0.026133,               0.041174,             0.00091513,                0.83246,                0.78238,                0.80901,                0.63836,                0.72302,                0.67831,                0.65991,                0.51284,               0.035354,               0.023534,               0.035652,              0.0016921,               0.003268,               0.003268,               0.003268
                     36,               0.040353,               0.025995,               0.042266,              0.0010406,                0.84161,                0.75365,                0.80566,                0.64189,                0.76766,                0.66661,                0.68586,                0.52451,               0.035142,               0.023505,               0.036721,              0.0018197,                0.00307,                0.00307,                0.00307
                     37,               0.040738,               0.025064,               0.041692,             0.00089683,                0.83775,                0.76219,                0.80692,                0.64294,                0.75978,                0.66088,                0.66556,                0.51436,               0.036019,               0.024836,               0.035531,              0.0018194,               0.002872,               0.002872,               0.002872
                     38,               0.039778,               0.024891,               0.040218,              0.0008889,                0.81883,                0.76746,                0.80249,                0.63465,                0.74699,                0.65502,                0.66382,                0.51568,               0.035421,               0.024192,               0.037772,              0.0016821,               0.002674,               0.002674,               0.002674
                     39,               0.039271,               0.024738,               0.039298,             0.00083425,                0.82433,                0.77047,                0.80025,                0.63147,                 0.7172,                0.67812,                0.65757,                0.51385,               0.036396,               0.024244,               0.038215,              0.0016803,               0.002476,               0.002476,               0.002476
                     40,               0.039121,               0.024307,               0.038977,              0.0007228,                0.84147,                0.76891,                0.79998,                0.63149,                0.73305,                0.67387,                0.66086,                0.51478,               0.035233,                0.02336,               0.038164,              0.0016831,               0.002278,               0.002278,               0.002278
                     41,               0.038151,                0.02417,               0.037411,             0.00071256,                0.84588,                0.76845,                0.80134,                0.63892,                0.74427,                0.66388,                0.66111,                0.51759,               0.035439,               0.023956,               0.037586,              0.0017103,                0.00208,                0.00208,                0.00208
                     42,               0.037782,               0.024286,               0.038051,             0.00074249,                0.81123,                0.79102,                0.80362,                0.63787,                0.71883,                0.68618,                0.66265,                0.51654,               0.035276,               0.023386,               0.038884,              0.0017327,               0.001882,               0.001882,               0.001882
                     43,               0.037554,                0.02429,               0.037522,             0.00078656,                0.84004,                0.75753,                0.80185,                0.63871,                 0.7469,                0.67918,                0.67752,                0.52672,               0.036307,               0.022522,               0.040107,              0.0017596,               0.001684,               0.001684,               0.001684
                     44,               0.037882,               0.023838,               0.036878,              0.0006519,                0.85334,                 0.7552,                0.80006,                0.64245,                 0.7661,                0.67827,                0.68228,                0.52412,               0.035689,               0.023469,               0.040009,              0.0016806,               0.001486,               0.001486,               0.001486
                     45,               0.037283,                0.02436,               0.036338,             0.00070376,                0.83917,                0.76871,                0.80281,                0.64434,                0.73998,                0.68476,                0.67368,                0.52628,               0.035552,               0.023543,               0.038241,              0.0016778,               0.001288,               0.001288,               0.001288
                     46,               0.037251,               0.023794,                0.03696,             0.00068346,                0.81597,                0.77524,                0.80006,                0.64523,                0.77018,                0.65369,                 0.6757,                0.52177,               0.035113,               0.023271,               0.039245,              0.0016801,                0.00109,                0.00109,                0.00109
                     47,               0.036656,               0.023543,               0.036369,             0.00062151,                0.87665,                0.74074,                0.79916,                0.64368,                0.77115,                0.65776,                0.67665,                0.52665,               0.035643,               0.022406,               0.040156,                0.00176,               0.000892,               0.000892,               0.000892
                     48,               0.036834,               0.023281,               0.036141,             0.00061619,                 0.8684,                0.73702,                0.80559,                0.64395,                0.76733,                0.64944,                0.67362,                0.52373,               0.035591,               0.022856,               0.039163,              0.0017919,               0.000694,               0.000694,               0.000694
                     49,               0.036317,               0.022766,               0.035254,             0.00059586,                0.83131,                0.77068,                 0.8034,                0.64631,                0.73155,                0.68072,                0.67434,                 0.5233,               0.035691,               0.022874,               0.039413,              0.0017925,               0.000496,               0.000496,               0.000496
                     50,                0.84396,                0.77649,                0.81401,                0.64706,                0.74405,                0.68837,                0.67729,                0.52664,               0.035568,                0.02466,               0.035427,              0.0017232
