                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     34,               0.047235,               0.029276,               0.046914,              0.0013917,                0.82101,                0.78108,                0.81425,                 0.5986,                0.72097,                0.67014,                0.66048,                0.49991,               0.038064,               0.027155,                0.03264,              0.0015553,               0.003466,               0.003466,               0.003466
                     35,               0.045995,               0.029155,               0.048469,              0.0014238,                0.81569,                0.76569,                0.80442,                0.59311,                0.71462,                0.66603,                0.66248,                0.50255,                0.03921,               0.025901,               0.033148,              0.0014705,               0.003268,               0.003268,               0.003268
                     36,               0.046249,               0.028816,               0.047355,              0.0011903,                0.84472,                0.75034,                0.80252,                0.60165,                 0.7459,                0.65242,                0.65621,                0.50656,               0.038666,               0.025528,               0.033124,              0.0015141,                0.00307,                0.00307,                0.00307
                     37,               0.046208,               0.029166,               0.046255,              0.0012065,                0.83419,                0.75901,                0.81307,                 0.6203,                0.74381,                0.64222,                0.66693,                0.50664,                0.03792,               0.025023,               0.032409,              0.0014627,               0.002872,               0.002872,               0.002872
                     38,               0.046127,               0.028506,               0.047857,              0.0010434,                 0.8395,                0.77609,                0.82033,                0.62341,                0.72955,                0.67375,                0.66613,                0.50929,               0.037559,               0.026386,               0.032491,              0.0014363,               0.002674,               0.002674,               0.002674
                     39,               0.045434,               0.027818,               0.045352,               0.001273,                0.80275,                0.77704,                0.81683,                0.62188,                0.76163,                0.63277,                0.66712,                0.50616,               0.037799,               0.026837,               0.032699,               0.001599,               0.002476,               0.002476,               0.002476
                     40,               0.044675,               0.028207,               0.044998,               0.001095,                0.84339,                0.76783,                0.81779,                0.62779,                0.74808,                0.67102,                0.68336,                0.51324,               0.037281,               0.027206,               0.032608,               0.001416,               0.002278,               0.002278,               0.002278
                     41,               0.043847,               0.027498,               0.044772,             0.00098614,                0.85345,                0.77505,                0.82328,                0.63008,                0.75301,                0.67935,                0.68062,                0.51279,               0.037172,                0.02584,               0.032162,              0.0015021,                0.00208,                0.00208,                0.00208
                     42,               0.044784,               0.028478,               0.046851,              0.0010864,                 0.8175,                0.78828,                0.81854,                0.63833,                0.71623,                0.69137,                 0.6783,                0.51821,               0.037204,                0.02532,               0.032583,              0.0014172,               0.001882,               0.001882,               0.001882
                     43,               0.044315,               0.026726,               0.044785,             0.00086772,                 0.8114,                0.75517,                0.81137,                0.62359,                0.75031,                0.64056,                0.66254,                0.50834,               0.038195,               0.023299,                0.03347,              0.0014821,               0.001684,               0.001684,               0.001684
                     44,               0.043875,               0.028867,               0.047101,              0.0010822,                0.85046,                0.75882,                0.81827,                0.62879,                0.77008,                0.64172,                0.66913,                0.51102,               0.037199,               0.024371,               0.032646,              0.0014924,               0.001486,               0.001486,               0.001486
                     45,               0.043888,               0.027616,               0.046524,             0.00093451,                0.80804,                0.79898,                0.81486,                0.62603,                0.70519,                0.69588,                 0.6623,                0.50991,               0.037668,               0.025029,               0.033261,              0.0015183,               0.001288,               0.001288,               0.001288
                     46,               0.044251,               0.027955,               0.046743,             0.00093914,                0.82003,                 0.7947,                0.81419,                0.63599,                0.72097,                0.69615,                0.67488,                0.51383,               0.036674,               0.023417,               0.032647,              0.0015261,                0.00109,                0.00109,                0.00109
                     47,               0.044335,               0.028163,               0.045701,             0.00091219,                0.82875,                0.79181,                0.81522,                0.63744,                0.73098,                0.69839,                0.67633,                0.51865,               0.036563,               0.023719,               0.033205,               0.001563,               0.000892,               0.000892,               0.000892
                     48,               0.043595,               0.026947,               0.045401,              0.0008163,                0.81728,                0.78179,                0.81158,                0.63475,                0.72805,                0.68035,                0.66939,                0.51473,               0.036644,               0.023871,               0.032919,              0.0015722,               0.000694,               0.000694,               0.000694
                     49,               0.043211,               0.026962,               0.044618,             0.00092781,                0.82991,                0.79024,                0.81908,                   0.64,                0.73902,                0.69037,                0.67287,                0.51568,                0.03644,               0.024866,               0.032701,              0.0015925,               0.000496,               0.000496,               0.000496
                     50,                0.81514,                0.79024,                0.81903,                 0.6383,                0.71464,                0.69103,                0.67739,                0.51785,                0.03721,               0.025325,               0.032584,              0.0014171
